RptDt,TckrSymb,ISIN,Asst,BalQty,TradAvrgPric,PricFctr,"BalVal"
RptDt,TckrSymb,ISIN,Asst,BalQty,TradAvrgPric,PricFctr,"BalVal"
2022-12-26,XMAL11,BRXMALCTF002,XMAL,10556,"6,5622859",1,"69271,49"
2022-12-26,XPBR31,BRXPBRBDR001,XPBR,3436940,"80,4859433",1,"276625358,13"
2022-12-26,XPCI11,BRXPCICTF007,XPCI,43236,"85,0793133",1,"3678489,19"
2022-12-26,XPCM11,BRXPCMCTF009,XPCM,1,"15,05",1,"15,05"
2022-12-26,XPIN11,BRXPINCTF004,XPIN,56,"73,9496428",1,"4141,18"
2022-12-26,XPLG11,BRXPLGCTF002,XPLG,64183,"99,9664936",1,"6416149,46"
2022-12-26,XPML11,BRXPMLCTF000,XPML,176070,"100,6634656",1,"17723816,39"
2022-12-26,XPPR11,BRXPPRCTF000,XPPR,9123,"34,7352318",1,"316889,52"
2022-12-26,YDRO11,BRYDROCTF007,YDRO,3,"43,34",1,"130,02"
2022-12-26,YDUQ3,BRYDUQACNOR3,YDUQ,26541776,"11,1208631",1,"295167457,94"
2022-12-26,Z1OM34,BRZ1OMBDR000,Z1OM,3219,"14,8856943",1,"47917,05"
2022-12-26,Z1TS34,BRZ1TSBDR006,Z1TS,3500,"50,74",1,"177590"
2022-12-26,ZAMP3,BRZAMPACNOR5,ZAMP,3981840,"5,4971805",1,"21888893,21"

